2025_03_02_T18:07:22 -  finished initateHouses in 0.08844900131225586 seconds
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
2025_03_02_T18:07:24 -  All houses for rental were assigned in Oeiras
