2025_01_03_T19:16:07 -  finished initateHouses in 0.03999495506286621 seconds
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
2025_01_03_T19:16:08 -  All houses for rental were assigned in Barreiro
